3	105470455
6	161127501
7	142458526
10	99359537
17	6329101
13	20763452
20	31022346
X	53407978
1	45973891
14	58899157
14	58899157
16	29825016
1	25629820
1	161138933
12	103248932
20	62324513
1	23233346
1	119683231
8	100844596
12	6143978
17	41063381
1	76226846
8	77896132
16	28913640
1	92941647
5	74842932
7	55259485
7	142458526
20	31025073
6	32008783
6	110036336
9	6602164
X	154157686
9	139404348
11	119148973
1	119683231
5	150723155
15	34549914
5	40955530
12	6128787
19	33355167
1	63063668
4	187201412
16	29825016
X	154157686
2	141128833
7	142458526
15	80478549
5	112175364
5	131931452
12	53298582
19	34262922
20	30956912
X	53407978
16	57996515
6	162206852
8	100844596
5	176813233
7	75612866
11	88961072
13	32971119
15	65316100
7	40228168
7	151927025
14	81422146
20	31021206
X	48649629
6	32008783
9	139414008
11	116691634
16	68849530
7	151927025
12	103234252
1	182555149
11	111635566
15	42691799
7	142458526
6	38893830
8	100844596
17	41209079
17	73830174
11	22294469
1	155208310
9	104189856
17	79767715
19	33353427
8	100844596
1	160169674
2	179454576
5	150227998
7	140476863
7	151927025
7	151927067
10	13152387
12	111886081
16	27356203
19	33353427
22	24133970
X	70073098
X	119760629
2	135878489
7	73452035
16	50756774
1	161968031
3	15686731
11	534282
11	5255582
12	12022436
1	43804305
7	128849189
20	18523024
3	52440267
2	25463523
8	100844596
1	119683231
1	155208310
1	168014447
11	108183194
11	119156088
12	103245479
21	37833752
X	53407978
6	32008500
7	142458526
X	53407978
1	161138933
5	69372372
6	18122633
7	151927067
15	29561120
X	53407978
13	48941629
2	25463181
7	142458526
10	31810782
12	103245479
1	76226846
X	53407978
8	100844596
16	16248912
15	45393426
15	55759241
3	164764786
5	150723155
6	26091179
7	142458526
20	23618427
12	64173875
14	58899157
15	42684833
2	74074670
12	103234270
14	94847286
11	5248050
X	154157686
11	88911770
15	48762885
X	53407978
8	100844596
17	39975704
7	117199645
12	111886081
X	53407978
16	17232391
5	176813233
X	154157686
1	155208310
6	32008783
11	108119823
X	53407978
